"Cancel","Cancel"
"Submit","Submit"
"Get help for dashboard","Get help for dashboard"
"Please <a href=""javascript:%s"">add widget</a> to dashboard.","Please <a href=""javascript:%s"">add widget</a> to dashboard."
"Delete Widget","Delete Widget"
"Save","Save"
"Right Click to Save Image As... or click at button to print","Right Click to Save Image As... or click at button to print"
"Print","Print"
"Analytics data for selected period is not fully collected, please <a href=""javascript:%s"">click here</a> to start collecting data","Analytics data for selected period is not fully collected, please <a href=""javascript:%s"">click here</a> to start collecting data"
"Please wait until aggregation is completed, page will be automatically reloaded","Please wait until aggregation is completed, page will be automatically reloaded"
"Loading...","Loading..."
"Analytics data","Analytics data"
"Aggregation was interrupted, not all data was processed","Aggregation was interrupted, not all data was processed"
"Are you sure?","Are you sure?"
"Add","Add"
"Widget Settings","Widget Settings"
"Print Page","Print Page"
"Close","Close"
"Date Range","Date Range"
"No data available","No data available"
"Show the following metric:","Show the following metric:"
"Compare with the following metric:","Compare with the following metric:"
"No Comparison","No Comparison"
"Widget title:","Widget title:"
"Group By:","Group By:"
"Please Choose","Please Choose"
"Billing","Billing"
"Shipping","Shipping"
"Sectors Number:","Sectors Number:"
"Table View:","Table View:"
"Flat View","Flat View"
"Lines Number:","Lines Number:"
"Please, do not close the page while aggregation is running","Please, do not close the page while aggregation is running"
"Data aggregation is not finished, please click ""stay on the page"" in the next window to keep aggregation process running","Data aggregation is not finished, please click ""stay on the page"" in the next window to keep aggregation process running"
"There is no data for daily aggregation","There is no data for daily aggregation"
"Edit Dashboard '%s'","Edit Dashboard '%s'"
"Add Dashboard","Add Dashboard"
"Add New Dashboard","Add New Dashboard"
"Name","Name"
"Description","Description"
"Users","Users"
"Roles","Roles"
"Is Default For","Is Default For"
"Action","Action"
"Edit","Edit"
"Delete","Delete"
"Dashboard Details","Dashboard Details"
"General","General"
"View","View"
"Edit","Edit"
"Is Default","Is Default"
"Default Store","Default Store"
"Other","Other"
"Date/Time","Date/Time"
"Edit Details","Edit Details"
"Today","Today"
"Yesterday","Yesterday"
"Last Month","Last Month"
"Last Week","Last Week"
"You don't have permissions to edit this dashboard","You don't have permissions to edit this dashboard"
"Dashboard does not exist","Dashboard does not exist"
"Dashboard was successfully saved","Dashboard was successfully saved"
"Unable to find dashboard to save","Unable to find dashboard to save"
"Dashboard was successfully deleted","Dashboard was successfully deleted"
"Sorry, widget was probably removed by another user, please refresh the page","Sorry, widget was probably removed by another user, please refresh the page"
"Please select valid date period","Please select valid date period"
"Store timezone has been changed, it's recommended to <a target='_blank' href='%s'> run analytics data aggregation</a>","Store timezone has been changed, it's recommended to <a target='_blank' href='%s'> run analytics data aggregation</a>"
"New timezone settings not applied yet to dashboard data. The data aggregation process is in progress.","New timezone settings not applied yet to dashboard data. The data aggregation process is in progress."